f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label
0.649851142,0.593566719,0.079415813,0.952367567,0.649851142,0.593566719,0.079415813,0.952367567,m01,ae
1.596846115,-0.84574842,-0.198539532,0.687219778,1.596846115,-0.84574842,-0.198539532,0.687219778,m01,ah
0.384918025,0.387389243,0.292514911,-1.206692997,0.384918025,0.387389243,0.292514911,-1.206692997,m01,eh
-0.917200063,0.766363079,0.264719376,-1.130936486,-0.917200063,0.766363079,0.264719376,-1.130936486,m01,ih
-1.261049429,1.469330091,1.932451447,1.558419655,-1.261049429,1.469330091,1.932451447,1.558419655,m01,iy
0.593482394,-0.84967561,-0.828571648,-0.221858354,0.593482394,-0.84967561,-0.828571648,-0.221858354,m01,uh
-1.046848185,-1.521225101,-1.541990367,-0.638519164,-1.046848185,-1.521225101,-1.541990367,-0.638519164,m01,uw
0.755173798,0.593366873,-0.372297228,0.903538789,0.755173798,0.593366873,-0.372297228,0.903538789,m02,ae
1.418296826,-0.93574833,0.855128047,0.876624868,1.418296826,-0.93574833,0.855128047,0.876624868,m02,ah
0.210912445,0.478485161,-0.467255631,-1.330316685,0.210912445,0.478485161,-0.467255631,-1.330316685,m02,eh
-0.564816379,0.712210023,-0.523527277,-0.899693943,-0.564816379,0.712210023,-0.523527277,-0.899693943,m02,ih
-1.390592225,1.500536255,1.734372513,0.52674389,-1.390592225,1.500536255,1.734372513,0.52674389,m02,iy
0.792709064,-1.060533638,0.35571719,-1.168833157,0.792709064,-1.060533638,0.35571719,-1.168833157,m02,uh
-1.22168353,-1.288316343,-1.582137614,1.091936239,-1.22168353,-1.288316343,-1.582137614,1.091936239,m02,uw
0.629080822,0.49069218,0.061624266,0.316876128,0.629080822,0.49069218,0.061624266,0.316876128,m03,ae
1.642654278,-0.849110815,1.073684323,0.886131474,1.642654278,-0.849110815,1.073684323,0.886131474,m03,ah
0.225021134,0.285881531,-1.605786156,-0.860893552,0.225021134,0.285881531,-1.605786156,-0.860893552,m03,eh
-0.726916098,0.704036605,-0.353154446,-1.292742435,-0.726916098,0.704036605,-0.353154446,-1.292742435,m03,ih
-1.247399764,1.668353411,1.488463035,-0.252379217,-1.247399764,1.668353411,1.488463035,-0.252379217,m03,iy
0.642777761,-1.0219198,0.260718047,-0.605710121,0.642777761,-1.0219198,0.260718047,-0.605710121,m03,uh
-1.165218133,-1.277933111,-0.925549068,1.808717723,-1.165218133,-1.277933111,-0.925549068,1.808717723,m03,uw
0.745495946,0.368129475,-0.724253234,1.411331118,0.745495946,0.368129475,-0.724253234,1.411331118,m04,ae
1.342064873,-0.831972612,-0.195126478,1.147882642,1.342064873,-0.831972612,-0.195126478,1.147882642,m04,ah
0.570743432,0.184064737,-0.259729163,-0.775291227,0.570743432,0.184064737,-0.259729163,-0.775291227,m04,eh
-0.501875446,0.456480548,-0.278187074,-0.827980922,-0.501875446,0.456480548,-0.278187074,-0.827980922,m04,ih
-1.466027248,1.92654425,2.244393972,-0.485497905,-1.466027248,1.92654425,2.244393972,-0.485497905,m04,iy
0.570743432,-0.993949581,0.294008139,-1.249498483,0.570743432,-0.993949581,0.294008139,-1.249498483,m04,uh
-1.26114499,-1.109296816,-1.081106163,0.779054777,-1.26114499,-1.109296816,-1.081106163,0.779054777,m04,uw
0.702700654,0.434702529,-0.973707701,1.256177224,0.702700654,0.434702529,-0.973707701,1.256177224,m06,ae
1.847777315,-0.845435755,-0.003848647,0.590442923,1.847777315,-0.845435755,-0.003848647,0.590442923,m06,ah
0.068599063,0.43677395,0.112893646,-0.879720328,0.068599063,0.43677395,0.112893646,-0.879720328,m06,eh
-0.6763164,0.757844231,0.687624938,-1.379021054,-0.6763164,0.757844231,0.687624938,-1.379021054,m06,ih
-1.125728207,1.565698488,1.522781345,0.895571144,-1.125728207,1.565698488,1.522781345,0.895571144,m06,iy
0.308695782,-0.930364023,0.409239468,-1.101631761,0.308695782,-0.930364023,0.409239468,-1.101631761,m06,uh
-1.125728207,-1.41921942,-1.75498305,0.618181852,-1.125728207,-1.41921942,-1.75498305,0.618181852,m06,uw
